,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
169,R,20.0,2019-06-01T22:03:14,2,1998OH_20s_b2x2-063_R.fit
170,R,20.0,2019-06-01T22:03:37,2,1998OH_20s_b2x2-064_R.fit
171,R,20.0,2019-06-01T22:03:59,2,1998OH_20s_b2x2-065_R.fit
172,R,20.0,2019-06-01T22:04:22,2,1998OH_20s_b2x2-066_R.fit
173,R,20.0,2019-06-01T22:04:45,2,1998OH_20s_b2x2-067_R.fit
174,R,20.0,2019-06-01T22:05:07,2,1998OH_20s_b2x2-068_R.fit
175,R,20.0,2019-06-01T22:05:31,2,1998OH_20s_b2x2-069_R.fit
176,R,20.0,2019-06-01T22:05:53,2,1998OH_20s_b2x2-070_R.fit
177,R,20.0,2019-06-01T22:06:15,2,1998OH_20s_b2x2-071_R.fit
178,R,20.0,2019-06-01T22:06:38,2,1998OH_20s_b2x2-072_R.fit
179,R,20.0,2019-06-01T22:07:00,2,1998OH_20s_b2x2-073_R.fit
180,R,20.0,2019-06-01T22:07:23,2,1998OH_20s_b2x2-074_R.fit
181,R,20.0,2019-06-01T22:07:46,2,1998OH_20s_b2x2-075_R.fit
182,R,20.0,2019-06-01T22:08:08,2,1998OH_20s_b2x2-076_R.fit
183,R,20.0,2019-06-01T22:08:31,2,1998OH_20s_b2x2-077_R.fit
184,R,20.0,2019-06-01T22:08:54,2,1998OH_20s_b2x2-078_R.fit
185,R,20.0,2019-06-01T22:09:16,2,1998OH_20s_b2x2-079_R.fit
186,R,20.0,2019-06-01T22:09:39,2,1998OH_20s_b2x2-080_R.fit
187,R,20.0,2019-06-01T22:10:02,2,1998OH_20s_b2x2-081_R.fit
188,R,20.0,2019-06-01T22:10:24,2,1998OH_20s_b2x2-082_R.fit
189,R,20.0,2019-06-01T22:10:47,2,1998OH_20s_b2x2-083_R.fit
190,R,20.0,2019-06-01T22:11:09,2,1998OH_20s_b2x2-084_R.fit
191,R,20.0,2019-06-01T22:11:32,2,1998OH_20s_b2x2-085_R.fit
192,R,20.0,2019-06-01T22:11:54,2,1998OH_20s_b2x2-086_R.fit
193,R,20.0,2019-06-01T22:12:17,2,1998OH_20s_b2x2-087_R.fit
194,R,20.0,2019-06-01T22:12:39,2,1998OH_20s_b2x2-088_R.fit
195,R,20.0,2019-06-01T22:13:02,2,1998OH_20s_b2x2-089_R.fit
196,R,20.0,2019-06-01T22:13:25,2,1998OH_20s_b2x2-090_R.fit
197,R,20.0,2019-06-01T22:13:48,2,1998OH_20s_b2x2-091_R.fit
198,R,20.0,2019-06-01T22:14:10,2,1998OH_20s_b2x2-092_R.fit
199,R,20.0,2019-06-01T22:14:33,2,1998OH_20s_b2x2-093_R.fit
200,R,20.0,2019-06-01T22:14:56,2,1998OH_20s_b2x2-094_R.fit
201,R,20.0,2019-06-01T22:15:18,2,1998OH_20s_b2x2-095_R.fit
202,R,20.0,2019-06-01T22:15:41,2,1998OH_20s_b2x2-096_R.fit
203,R,20.0,2019-06-01T22:16:03,2,1998OH_20s_b2x2-097_R.fit
204,R,20.0,2019-06-01T22:16:26,2,1998OH_20s_b2x2-098_R.fit
205,R,20.0,2019-06-01T22:16:48,2,1998OH_20s_b2x2-099_R.fit
206,R,20.0,2019-06-01T22:17:10,2,1998OH_20s_b2x2-100_R.fit
207,R,20.0,2019-06-01T22:19:22,2,1998OH_20s_b2x2-101_R.fit
208,R,20.0,2019-06-01T22:19:45,2,1998OH_20s_b2x2-102_R.fit
209,R,20.0,2019-06-01T22:20:08,2,1998OH_20s_b2x2-103_R.fit
210,R,20.0,2019-06-01T22:20:30,2,1998OH_20s_b2x2-104_R.fit
211,R,20.0,2019-06-01T22:20:53,2,1998OH_20s_b2x2-105_R.fit
212,R,20.0,2019-06-01T22:21:16,2,1998OH_20s_b2x2-106_R.fit
213,R,20.0,2019-06-01T22:21:39,2,1998OH_20s_b2x2-107_R.fit
214,R,20.0,2019-06-01T22:22:01,2,1998OH_20s_b2x2-108_R.fit
215,R,20.0,2019-06-01T22:22:24,2,1998OH_20s_b2x2-109_R.fit
216,R,20.0,2019-06-01T22:22:46,2,1998OH_20s_b2x2-110_R.fit
217,R,20.0,2019-06-01T22:23:09,2,1998OH_20s_b2x2-111_R.fit
218,R,20.0,2019-06-01T22:23:31,2,1998OH_20s_b2x2-112_R.fit
219,R,20.0,2019-06-01T22:23:54,2,1998OH_20s_b2x2-113_R.fit
220,R,20.0,2019-06-01T22:24:17,2,1998OH_20s_b2x2-114_R.fit
221,R,20.0,2019-06-01T22:24:40,2,1998OH_20s_b2x2-115_R.fit
222,R,20.0,2019-06-01T22:25:02,2,1998OH_20s_b2x2-116_R.fit
223,R,20.0,2019-06-01T22:25:25,2,1998OH_20s_b2x2-117_R.fit
224,R,20.0,2019-06-01T22:25:48,2,1998OH_20s_b2x2-118_R.fit
